Precinct,Registered Voters,Times Counted,Total Votes,Times Over Voted,Number of Under Votes,Peter J. Roskam Number,Peter J. Roskam Percent,Leslie Coolidge Number, Leslie Cooldige Percent
ALGONQUIN 1,522,334,324,0,10,166,51.23,158,48.77
ALGONQUIN 2,803,534,521,0,13,254,48.75,267,51.25
ALGONQUIN 3,695,431,404,0,27,201,49.75,203,50.25
ALGONQUIN 4,946,592,572,0,20,273,47.73,299,52.27
ALGONQUIN 5,947,710,679,0,31,389,57.29,290,42.71
ALGONQUIN 6,713,502,486,0,16,255,52.47,231,47.53
ALGONQUIN 7,469,347,335,0,12,201,60.00,134,40.00
ALGONQUIN 8,878,572,546,0,26,302,55.31,244,44.69
ALGONQUIN 9,762,535,518,0,17,306,59.07,212,40.93
ALGONQUIN 10,788,558,529,0,29,233,44.05,296,55.95
ALGONQUIN 11,1085,676,643,0,33,283,44.01,360,55.99
ALGONQUIN 12,877,613,582,0,31,308,52.92,274,47.08
ALGONQUIN 13,784,507,485,0,22,249,51.34,236,48.66
ALGONQUIN 14,807,565,536,0,29,319,59.51,217,40.49
ALGONQUIN 15,723,417,394,0,23,199,50.51,195,49.49
ALGONQUIN 16,805,641,623,0,18,426,68.38,197,31.62
ALGONQUIN 17,1213,830,808,0,22,537,66.46,271,33.54
ALGONQUIN 18,569,374,354,0,20,198,55.93,156,44.07
ALGONQUIN 19,640,403,388,0,15,195,50.26,193,49.74
ALGONQUIN 20,426,263,249,0,14,133,53.41,116,46.59
ALGONQUIN 21,867,554,534,0,20,286,53.56,248,46.44
ALGONQUIN 22,571,347,338,0,9,166,49.11,172,50.89
ALGONQUIN 23,878,681,656,0,25,392,59.76,264,40.24
ALGONQUIN 24,824,541,518,0,23,248,47.88,270,52.12
ALGONQUIN 25,526,360,352,0,8,174,49.43,178,50.57
ALGONQUIN 26,638,422,402,0,20,203,50.50,199,49.50
ALGONQUIN 27,783,497,471,0,26,253,53.72,218,46.28
ALGONQUIN 28,909,609,590,0,19,323,54.75,267,45.25
ALGONQUIN 29,518,367,347,0,20,188,54.18,159,45.82
ALGONQUIN 30,959,697,671,0,26,409,60.95,262,39.05
ALGONQUIN 31,1074,768,736,0,32,413,56.11,323,43.89
ALGONQUIN 32,746,486,460,0,26,252,54.78,208,45.22
ALGONQUIN 33,1048,745,713,0,32,427,59.89,286,40.11
ALGONQUIN 34,800,508,481,0,27,226,46.99,255,53.01
ALGONQUIN 35,1102,722,681,0,41,352,51.69,329,48.31
ALGONQUIN 36,672,501,480,0,21,279,58.13,201,41.88
ALGONQUIN 37,302,191,185,0,6,79,42.70,106,57.30
ALGONQUIN 38,820,562,534,0,28,298,55.81,236,44.19
,,,,FINAL STATEMENT OF VOTES CAST,,,,,Date:11/20/12
,,,,,,,,,Time:15:48:16
,,(INCLUDES PROVISIONAL AND LATE ABSENTEE BALLOTS),,,,,,,
,,,,,,,,,Page:32 of 137
,,,,(INCLUDES WRITE-IN CANDIDATES),,,,,
,,,,,"McHENRY COUNTY, ILLINOIS",,,,
,,,,,,GENERAL ELECTION,,,
,,,,,,"NOVEMBER 6, 2012",,,
,,,,D6 CONGRESS,,,,,
Reg.,Times,Total,Times,Number,PETER J.,,LESLIE,,
Voters,Counted,Votes,Over,Of,ROSKAM (REP),,COOLIDGE,,
,,,Voted,Under,,,(DEM),,
,,,,Votes,,,,,
ALGONQUIN 39,828,525,506,0,19,243,48.02,263,51.98
ALGONQUIN 40,664,440,417,0,23,187,44.84,230,55.16
ALGONQUIN 41,1166,828,794,0,34,409,51.51,385,48.49
ALGONQUIN 42,1077,814,775,0,39,429,55.35,346,44.65
ALGONQUIN 43,1053,765,732,0,33,405,55.33,327,44.67
ALGONQUIN 44,754,530,505,0,25,286,56.63,219,43.37
ALGONQUIN 45,885,665,637,0,28,396,62.17,241,37.83
ALGONQUIN 46,1073,760,715,0,45,432,60.42,283,39.58
ALGONQUIN 47,1165,842,802,0,40,462,57.61,340,42.39
ALGONQUIN 48,1161,835,788,0,47,455,57.74,333,42.26
ALGONQUIN 49,771,527,512,0,15,354,69.14,158,30.86
ALGONQUIN 50,845,630,602,0,28,388,64.45,214,35.55
ALGONQUIN 51,1060,773,741,0,32,432,58.30,309,41.70
ALGONQUIN 52,956,636,607,0,29,311,51.24,296,48.76
ALGONQUIN 53,621,401,391,0,10,195,49.87,196,50.13
ALGONQUIN 54,931,660,636,0,24,363,57.08,273,42.92
ALGONQUIN 55,1099,737,710,0,27,416,58.59,294,41.41
ALGONQUIN 56,647,435,413,0,22,201,48.67,212,51.33
ALGONQUIN 57,1176,803,757,0,46,379,50.07,378,49.93
ALGONQUIN 58,940,725,703,0,22,439,62.45,264,37.55
ALGONQUIN 59,1203,809,769,0,40,362,47.07,407,52.93
ALGONQUIN 60,430,296,278,0,18,152,54.68,126,45.32
ALGONQUIN 61,634,434,409,0,25,215,52.57,194,47.43
ALGONQUIN 62,1005,707,680,0,27,391,57.50,289,42.50
ALGONQUIN 63,1152,799,771,0,28,419,54.35,352,45.65
ALGONQUIN 64,622,443,419,0,24,249,59.43,170,40.57
ALGONQUIN 65,1179,861,823,0,38,581,70.60,242,29.40
ALGONQUIN 66,696,490,465,0,25,270,58.06,195,41.94
ALGONQUIN 67,895,667,647,0,20,440,68.01,207,31.99
ALGONQUIN 68,1241,901,866,0,35,541,62.47,325,37.53
Total,57418,39700,37995,0,1705,21197,55.79,16798,44.21
